REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2022/06/01 00:05:00,8496.89,351.87,TRADE
NSW1,2022/06/01 00:10:00,8445.19,354.20,TRADE
NSW1,2022/06/01 00:15:00,8468.43,449.99,TRADE
NSW1,2022/06/01 00:20:00,8427.77,449.99,TRADE
NSW1,2022/06/01 00:25:00,8392.49,347.79,TRADE
NSW1,2022/06/01 00:30:00,8357.18,349.75,TRADE
NSW1,2022/06/01 00:35:00,8331.01,351.09,TRADE
NSW1,2022/06/01 00:40:00,8269.62,350.98,TRADE
NSW1,2022/06/01 00:45:00,8248.69,354.79,TRADE
NSW1,2022/06/01 00:50:00,8213.61,352.13,TRADE
NSW1,2022/06/01 00:55:00,8171.22,352,TRADE
NSW1,2022/06/01 01:00:00,8127.23,352,TRADE
NSW1,2022/06/01 01:05:00,8105.61,352,TRADE
NSW1,2022/06/01 01:10:00,8077.49,358.77,TRADE
NSW1,2022/06/01 01:15:00,8005.98,353.56,TRADE
NSW1,2022/06/01 01:20:00,7960.38,353.25,TRADE
NSW1,2022/06/01 01:25:00,7895.94,346.75,TRADE
NSW1,2022/06/01 01:30:00,7867.98,345.48,TRADE
NSW1,2022/06/01 01:35:00,7843.49,346.80,TRADE
NSW1,2022/06/01 01:40:00,7804.28,409.34,TRADE
NSW1,2022/06/01 01:45:00,7775.1,443.02,TRADE
NSW1,2022/06/01 01:50:00,7719.17,351.51,TRADE
NSW1,2022/06/01 01:55:00,7671.34,345.34,TRADE
NSW1,2022/06/01 02:00:00,7583.31,348.55,TRADE
NSW1,2022/06/01 02:05:00,7573.21,302,TRADE
NSW1,2022/06/01 02:10:00,7523.85,344.17,TRADE
NSW1,2022/06/01 02:15:00,7483.49,279.39,TRADE
NSW1,2022/06/01 02:20:00,7411.85,341.06,TRADE
NSW1,2022/06/01 02:25:00,7373.03,310.06,TRADE
NSW1,2022/06/01 02:30:00,7362.59,320.61,TRADE
NSW1,2022/06/01 02:35:00,7346.62,345.72,TRADE
NSW1,2022/06/01 02:40:00,7289.09,279.29,TRADE
NSW1,2022/06/01 02:45:00,7265.91,341.01,TRADE
NSW1,2022/06/01 02:50:00,7238.68,281.29,TRADE
NSW1,2022/06/01 02:55:00,7215.19,279.54,TRADE
NSW1,2022/06/01 03:00:00,7189.86,281.32,TRADE
NSW1,2022/06/01 03:05:00,7112.49,300,TRADE
NSW1,2022/06/01 03:10:00,7133.04,279.31,TRADE
NSW1,2022/06/01 03:15:00,7090.63,302,TRADE
NSW1,2022/06/01 03:20:00,7077.54,215.98,TRADE
NSW1,2022/06/01 03:25:00,7104.9,300,TRADE
NSW1,2022/06/01 03:30:00,7069.83,297.44,TRADE
NSW1,2022/06/01 03:35:00,7048.75,300,TRADE
NSW1,2022/06/01 03:40:00,7057.05,340.67,TRADE
NSW1,2022/06/01 03:45:00,7079.72,300,TRADE
NSW1,2022/06/01 03:50:00,7103.62,302,TRADE
NSW1,2022/06/01 03:55:00,7086.58,317.72,TRADE
NSW1,2022/06/01 04:00:00,7037.56,300,TRADE
NSW1,2022/06/01 04:05:00,7086.74,352,TRADE
NSW1,2022/06/01 04:10:00,7096.66,364.98,TRADE
NSW1,2022/06/01 04:15:00,7125.65,447.87,TRADE
NSW1,2022/06/01 04:20:00,7117.58,352,TRADE
NSW1,2022/06/01 04:25:00,7137.85,449.99,TRADE
